Código,Nombre de provincia,Nombre de canton,Nombre de parroquia,Población,Superficie de la parroquia (km2),Densidad Poblacional,Latitud,Longitud,Precipitacion_Anual,cod_canton,nombre_canton,anio,mes,precipitacion_mm,temp_media_c,humedad_relativa,inundacion,Cerca_Rio
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2014,1,190.03,27.14,72.46,1,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2014,2,147.28,26.34,77.46,1,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2014,3,21.39,27.68,69.2,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2014,4,7.2,29.93,58.01,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2014,5,73.16,28.15,67.59,1,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2014,6,11.7,28.71,61.05,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2014,7,2.17,28.91,55.9,1,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2014,8,1.55,28.27,56.03,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2014,9,3.6,27.88,55.98,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2014,10,10.85,27.85,57.47,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2014,11,2.4,27.65,57.87,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2014,12,5.27,28.48,57.27,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2015,1,93.0,28.09,64.85,1,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2015,2,100.52,27.63,70.79,1,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2015,3,181.35,27.31,74.69,1,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2015,4,156.3,27.04,79.94,1,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2015,5,128.34,27.61,76.93,1,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2015,6,45.6,28.41,68.26,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2015,7,5.89,29.25,58.48,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2015,8,0.62,28.91,55.23,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2015,9,0.6,29.18,55.9,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2015,10,16.12,29.03,57.41,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2015,11,18.6,28.59,59.44,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2015,12,24.49,30.4,58.04,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2016,1,211.42,27.88,73.16,1,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2016,2,174.0,27.56,80.11,1,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2016,3,221.65,27.05,81.79,1,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2016,4,158.4,27.09,79.18,1,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2016,5,13.02,28.48,65.83,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2016,6,5.7,28.78,57.26,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2016,7,1.24,28.58,56.04,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2016,8,0.62,28.1,55.09,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2016,9,5.7,28.41,55.37,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2016,10,4.03,27.32,56.65,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2016,11,4.8,26.98,57.68,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2016,12,6.82,28.37,57.64,0,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2017,1,196.85,27.25,71.67,1,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2017,2,302.4,26.19,84.32,1,1
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,2291158,2493.86,918.71957527688,-2.1900572,-79.8868669,770.6775,901,GUAYAQUIL,2017,3,403.93,25.99,86.19,1,1
