codigo,provincia,canton,parroquia,latitud,longitud,superficie_km2,anio,mes,probabilidad_inundacion,prediccion_inundacion,riesgo_categoria
90250,GUAYAS,ALFREDO BAQUERIZO MORENO,ALFREDO BAQUERIZO MORENO (JUJAN),-1.9197925815745067,-79.5334107931199,218.655799349,2022,12,0.5046221515377548,0,Medio
90350,GUAYAS,BALAO,BALAO,-2.9041894754661874,-79.76889935064719,409.230586976,2022,12,0.31979518258849315,0,Medio
90450,GUAYAS,BALZAR,BALZAR,-1.272881814394883,-79.84967062919269,1187.98579198,2022,12,0.033343808453434244,0,Bajo
90550,GUAYAS,COLIMES,COLIMES,-1.5334749054757113,-80.0854797428374,545.244005613,2022,12,0.10342344993812941,0,Bajo
90551,GUAYAS,COLIMES,SAN JACINTO,-1.6108479881371258,-80.15448197537897,213.540503932,2022,12,0.29308606888873007,0,Medio
92350,GUAYAS,CRNEL. MARCELINO MARIDUEÑA,CORONEL MARCELINO MARIDUEÑA (SAN CARLOS),-2.2541283796917697,-79.38096354900807,254.410257868,2022,12,0.3650230537504092,0,Medio
90650,GUAYAS,DAULE,DAULE,-1.9239836419327168,-79.96774984315563,213.479868188,2022,12,0.8071841891113751,1,Alto
90652,GUAYAS,DAULE,JUAN BAUTISTA AGUIRRE (LOS TINTOS),-1.894107971706998,-79.86793741973268,49.5964043867,2022,12,0.8585816559850805,1,Alto
90653,GUAYAS,DAULE,LAUREL,-1.8055684585488776,-79.91978720184798,36.567304996,2022,12,0.9679169802379681,1,Alto
90654,GUAYAS,DAULE,LIMONAL,-1.7999307701296499,-79.99982560698818,48.1272815119,2022,12,0.8178929597104884,1,Alto
90656,GUAYAS,DAULE,LOS LOJAS (ENRIQUE BAQUERIZO MORENO),-1.9780301684402724,-79.9336087240107,118.507746466,2022,12,0.8983443738994792,1,Alto
90750,GUAYAS,DURAN,ELOY ALFARO (DURAN),-2.235768586596525,-79.8018130615908,300.556621062,2022,12,0.9359721660581372,1,Alto
90950,GUAYAS,EL TRIUNFO,EL TRIUNFO,-2.30370816309823,-79.41741598537254,395.408451604,2022,12,0.0640024910428368,0,Bajo
90852,GUAYAS,EMPALME,EL ROSARIO,-1.0561514274100954,-79.76370628665443,137.551047856,2022,12,0.5955236177649461,0,Medio
90851,GUAYAS,EMPALME,GUAYAS (PUEBLO NUEVO),-0.9699620132687555,-79.60282746213409,404.426336928,2022,12,0.2577217181541695,0,Bajo
90850,GUAYAS,EMPALME,VELASCO IBARRA (CAB. EL EMPALME),-1.0576986152068608,-79.66558680655628,174.126788884,2022,12,0.05150055287064064,0,Bajo
92750,GUAYAS,GNRAL. ANTONIO ELIZALDE,GRAL. ANTONIO ELIZALDE (BUCAY),-2.1505980496976913,-79.19181129449015,153.235213282,2022,12,0.17117692579666655,0,Bajo
90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,-2.3198827038413734,-80.01952355117237,2429.63844669,2022,12,0.9933128650200718,1,Alto
90152,GUAYAS,GUAYAQUIL,JUAN GOMEZ RENDON (PROGRESO),-2.387647974168108,-80.34431592657445,322.752690547,2022,12,0.7732667650108542,1,Alto
90153,GUAYAS,GUAYAQUIL,MORRO,-2.5886294883694916,-80.321472071061,265.025132274,2022,12,0.8249967211087076,1,Alto
90156,GUAYAS,GUAYAQUIL,POSORJA,-2.6782710692725593,-80.30556840651141,75.3183889258,2022,12,0.9756908732812385,1,Alto
90157,GUAYAS,GUAYAQUIL,PUNA,-2.8632323389456973,-80.11625115568597,882.310817665,2022,12,0.5457918633611413,0,Medio
90158,GUAYAS,GUAYAQUIL,TENGUEL,-2.9981823203758977,-79.7932641249861,138.853053679,2022,12,0.7954129047202045,1,Alto
92850,GUAYAS,ISIDRO AYORA,ISIDRO AYORA,-1.9021622535855343,-80.15980179571527,487.755471967,2022,12,0.04316390671829973,0,Bajo
92450,GUAYAS,LOMAS DE SARGENTILLO,LOMAS DE SARGENTILLO,-1.8471470228413216,-80.08294604700353,66.88525207,2022,12,0.17659519414138916,0,Bajo
91051,GUAYAS,MILAGRO,CHOBO,-2.1465466266477966,-79.63675989411088,42.28905175,2022,12,0.5429572054537798,0,Medio
91053,GUAYAS,MILAGRO,MARISCAL SUCRE (HUAQUES),-2.0953936607032513,-79.50041485257655,54.8693917288,2022,12,0.9611123788708845,1,Alto
91050,GUAYAS,MILAGRO,MILAGRO,-2.1286103100943197,-79.57983248179251,220.623621624,2022,12,0.8430741180745283,1,Alto
91054,GUAYAS,MILAGRO,ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA),-2.147927728557069,-79.49799563121698,87.7732138378,2022,12,0.867330351596466,1,Alto
91151,GUAYAS,NARANJAL,JESUS MARIA,-2.5887884732901045,-79.52651099951157,90.8797935703,2022,12,0.4353982875608022,0,Medio
91150,GUAYAS,NARANJAL,NARANJAL,-2.716949559806602,-79.63991333670297,517.513868552,2022,12,0.12279302873064524,0,Bajo
91152,GUAYAS,NARANJAL,SAN CARLOS,-2.538219276386176,-79.49753194832893,89.6725366301,2022,12,0.3678246782872153,0,Medio
91153,GUAYAS,NARANJAL,SANTA ROSA DE FLANDES,-2.6399210469004672,-79.69526192845188,115.606782225,2022,12,0.48822965343612973,0,Medio
91154,GUAYAS,NARANJAL,TAURA,-2.4401492728538092,-79.67877428057572,918.788519771,2022,12,0.10332221686870564,0,Bajo
